Obs,experiment,year,treatment,plot,subplot_id,id,sampling,height_25,height_46,height_67
621,DN14,2014,sparse,32,32209,RIL_071,unknown,9.71363721430818,49.1075863133138,54.9148742596777
622,DN14,2014,sparse,32,32210,RIL_100,unknown,8.86692801996533,56.8648865032215,62.143603837192
623,DN14,2014,sparse,34,34001,B100,unknown,6.03179490324663,49.4353598141974,NA
624,DN14,2014,sparse,34,34002,RIL_103,unknown,4.88567699650071,28.9927091952985,NA
625,DN14,2014,sparse,34,34003,RIL_110,unknown,9.90332932081478,42.6736422794705,NA
626,DN14,2014,sparse,34,34004,RIL_017,unknown,8.56944528931259,45.7885010347954,NA
627,DN14,2014,sparse,34,34005,A10,unknown,7.30712495723954,19.0124239748743,NA
628,DN14,2014,sparse,34,34006,RIL_216,unknown,6.75571675649628,32.9281263797343,NA
629,DN14,2014,sparse,34,34007,RIL_127,unknown,5.56845382892302,39.9733080026983,NA
630,DN14,2014,sparse,34,34008,RIL_207,unknown,6.36392722534483,46.6195804372529,NA
631,DN14,2014,sparse,34,34009,RIL_063,unknown,5.38990078364597,36.130234996693,NA
632,DN14,2014,sparse,34,34010,RIL_018,unknown,5.90192492416849,39.7876044231614,NA
633,DN14,2014,sparse,34,34011,B100,unknown,6.03179490324663,49.4353598141974,NA
